null	Value	Footprint	Quantity
1	0.1uF	C_0603_1608Metric	8
2	22p	C_0603_1608Metric	2
3	1uF	C_0603_1608Metric	2
4	10uF	C_0805_2012Metric	1
5	2.2uF	C_0603_1608Metric	1
6	10nF	C_0603_1608Metric	1
7	100	R_0805_2012Metric	8
8	10k	R_0805_2012Metric	2
9	330	R_0805_2012Metric	2
10	10k	R_0603_1608Metric	2
11	22	R_0603_1608Metric	2
12	1k	R_0603_1608Metric	1
13	LED	LED_0805_2012Metric	3
14	CA56-12EWA	CA56-12EWA	1
15	74HC595	TSSOP-16_4.4x5mm_P0.65mm	1
16	ATmega32U4-A	TQFP-44_10x10mm_P0.8mm	1
17	USBLC6-2SC6	SOT-23-6	1
18	LP2985-3.3	SOT-23-5	1
19	16MHz	Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm	1
20	PTCSMD	Fuse_1812_4532Metric	1
21	PTS125SM43SMTR21M_LFS	PTS125_SMD_Button	2
22	Speaker	Buzzer_12x9.5RM7.6	1
23	PTS526_SM08_SMTR2_LFS	PTS526_SMD_Button	1
24	AVR-ISP-6	PinSocket_2x03_P2.54mm_Vertical	1
25	USB_B_Mini	USB_Mini-B_Lumberg_2486_01_Horizontal	1
26	ESP_Conn	PinSocket_2x04_P2.54mm_Vertical	1
